,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,test_r2_with_best_hyp,model_name,seed
0,0.01296528180440267,0.005700002856991798,0.002991914749145508,3.371747880871523e-07,0.2,1,50,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712579795881656,-0.14973321689990482,0.10859045689004229,1,0.6802537904386152,Light GBM,0
1,0.010972023010253906,0.0008157562208123987,0.0026592413584391275,0.00047013404618951926,0.2,1,100,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761906280372,-0.14973382393456722,0.10859061002138953,16,0.6802537904386152,Light GBM,0
2,0.009308576583862305,0.005543833077902153,0.0026586055755615234,0.00046968593209944533,0.2,1,150,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761956642575,-0.1497338241024412,0.10859061006373856,21,0.6802537904386152,Light GBM,0
3,0.006317138671875,0.001881098394556623,0.0026592413584391275,0.0012443676686633564,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712579795881656,-0.14973321689990482,0.10859045689004229,1,0.6802537904386152,Light GBM,0
4,0.0083160400390625,0.0033933955189525316,0.0029865900675455728,2.5923262326399626e-06,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761906280372,-0.14973382393456722,0.10859061002138953,16,0.6802537904386152,Light GBM,0
5,0.009640852610270182,0.0037609038136102307,0.0023300647735595703,0.0004750792764147975,0.2,3,150,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761956642575,-0.1497338241024412,0.10859061006373856,21,0.6802537904386152,Light GBM,0
6,0.005651315053304036,0.002351063619667008,0.0026628971099853516,0.0004651327118230102,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712579795881656,-0.14973321689990482,0.10859045689004229,1,0.6802537904386152,Light GBM,0
7,0.007978121439615885,0.00355023819740422,0.003323713938395182,0.00046974149242164017,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761906280372,-0.14973382393456722,0.10859061002138953,16,0.6802537904386152,Light GBM,0
8,0.009640375773111979,0.00589089728279388,0.0026601950327555337,0.00047064005999455894,0.2,5,150,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.17712761956642575,-0.1497338241024412,0.10859061006373856,21,0.6802537904386152,Light GBM,0
9,0.005980968475341797,0.0008125451620928354,0.002659877141316732,0.0004705837736315435,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712579795881656,-0.14973321689990482,0.10859045689004229,1,0.6802537904386152,Light GBM,0
